Grade,Strand,Anchor Standard,Code,Benchmark
K,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",0.1.6.1,Define the role of an author and illustrator in telling the story.
K,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",0.1.6.2,Benchmarks begin in grade 1.
K,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",0.1.6.3,"Recognize common types of text (e.g., storybooks, informational, poems), through listening or reading."
K,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,0.1.7.1,Benchmarks begin in grade 3.
K,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",0.1.8.1,"Recognize rhythm, alliteration and repeated lines in a story, poem or song read aloud."
K,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",0.1.8.2,Ask and answer questions about unfamiliar vocabulary in informational text read aloud.
K,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",0.1.9.1,Benchmarks begin in grade 1.
K,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",0.1.9.2,Benchmarks begin in grade 1.
K,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",0.2.1.0,Print many uppercase and lowercase letters.
K,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",0.2.1.1,"Recognize that words are represented in written language by specific sequences of letters, which are separated by spaces, and put in a specific order to create a sentence."
K,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",0.2.1.2,Demonstrate one-to-one letter-sound correspondence.
K,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",0.2.1.3,Benchmarks begin in grade 1.
K,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",0.2.2.1,"Write routinely (may include a combination of drawing, dictating and writing), with support and guidance."
K,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",0.2.2.2,"Share personal perspective, identity and voice, verbally or visually."
K,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",0.2.3.1,"Plan and draft writing (may include a combination of drawing, dictating and writing) and revise to strengthen writing in a shared setting."
K,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",0.2.3.2,Benchmarks begin in grade 3.
K,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",0.2.4.1,"State a personal opinion for the purpose of sharing, verbally, visually or in written form, with support and guidance."
K,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",0.2.4.2,Benchmarks begin in grade 3.
K,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",0.2.5.1,"Make a statement about a topic and offer one or two details about the topic, verbally, visually or in written form, with support and guidance."
K,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",0.2.5.2,"Verbally or visually respond to a story, with support and guidance."
K,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",0.2.6.1,"Tell a story about a personal experience or that of a character, verbally, visually or in written form."
K,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",0.2.6.2,"Correctly order beginning, middle and end of a story, with support and guidance."
K,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,0.2.7.1,Ask questions to participate in shared research and writing projects.
K,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,0.2.7.2,Benchmarks begin in grade 1.
K,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",0.2.8.1,Benchmarks begin in grade 1.
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",0.3.1.1,"Exchange ideas in storytelling, discussion and collaboration, with intentional inclusion of voices of Dakota and Anishinaabe people and other perspectives.
a. Help create and follow agreed-upon norms for a discussion (e.g., speaker norms, listener norms, participation norms) respectful of culture.
b. Participate as a speaker and listener, and continue exchange of ideas through multiple exchanges.
c. Follow sequence of a story or discussion or steps in a process."
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",0.3.1.2,"Confirm understanding of a text read aloud or information presented orally or through other media (e.g., poems, rhymes, songs) by asking and answering questions about key details and requesting clarification if something is not understood."
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",0.3.1.3,Benchmarks begin in grade 2.
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",0.3.2.1,"Speak audibly and express thoughts, feelings and ideas clearly."
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",0.3.3.1,"Create written, oral and digital content that communicates knowledge and ideas in a variety of presentation styles, with prompting and support. *"
K,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",0.3.3.2,"With prompting and support, create an individual or shared multimedia work for a specific purpose (e.g., to share lived or imagined experiences, to present information, to entertain, or as artistic expression), considering digital footprint. *"
1,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",1.1.1.0,"Recognize the distinguishing features of a sentence in print (e.g., first word, capitalization, ending punctuation)."
1,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",1.1.1.1,"Demonstrate understanding of spoken words, syllables and sounds (phonemes): Identify, orally produce, blend, segment and manipulate syllables in multi-syllabic words and sounds in three to four phoneme words."
1,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",1.1.1.2,"Know and apply grade-level phonics and word analysis skills in decoding words:
a. Know the spelling-sound correspondences for the common consonant digraphs and blends.
b. Decode regularly spelled one-syllable words including final e and vowel teams, consonant digraphs and diphthongs, and inflectional suffixes and two-syllable words that follow six-syllable types, demonstrating both accuracy and automaticity.
c. Read high-frequency words, in and out of context, demonstrating both accuracy and automaticity."
1,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",1.1.1.3,Read decodable texts accurately and with automaticity.
1,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",1.1.2.1,"Read independently and monitor understanding of grade-level text; self-correct as needed using strategies including, but not limited to, decoding, looking at context and making connections."
1,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",1.1.2.2,"At grade 1 text complexity, select and proficiently read and comprehend texts that address academic tasks."
1,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",1.1.2.3,Express curiosity about a topic and choose and read texts for personal interest and enjoyment.
1,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,1.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people."
1,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",1.1.4.1,"Ask and answer questions including who, what and where to demonstrate understanding of key details in a text; retell key details."
1,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",1.1.4.2,"Identify the central idea, message or moral of a text, with prompting as needed."
1,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",1.1.4.3,"Identify characters and setting, in a literary text, with prompting as needed."
1,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",1.1.4.4,"Describe the connection between two pieces of information, individuals, events or ideas in an informational text."
1,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,1.1.5.1,"Identify the beginning, middle and end of a text."
1,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,1.1.5.2,"Identify informational text features (e.g., headings, table of contents, glossaries, digital menus, icons)."
1,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,1.1.5.3,"Identify the impact that illustrations have on content, meaning and style of a text."
1,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",1.1.6.1,"Identify the author of a text, and illustrator and/or source, where applicable (e.g., specific newspaper, magazine or digital platform)."
1,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",1.1.6.2,Identify the time period and setting of the text.
1,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",1.1.6.3,Identify if the text is literary or informational.
1,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,1.1.7.1,Benchmarks begin in grade 3.
1,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",1.1.8.1,"Recognize how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem or song."
1,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",1.1.8.2,Ask and answer questions to help determine or clarify the meaning of unfamiliar vocabulary and phrases in informational text.
1,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",1.1.9.1,"Identify two different sources of information on a topic of personal interest or academic focus (e.g., a picture book and a website or an encyclopedia and a video)."
1,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",1.1.9.2,"Examine concept of relevance of sources to task and topic, with prompting as needed."
1,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",1.2.1.0,Print all uppercase and lowercase letters.
1,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",1.2.1.1,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
1,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",1.2.1.2,Accurately spell words in common word families and high-frequency words; use phonetic spelling for other words.
1,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",1.2.1.3,"Use frequently-occurring nouns, verbs and prepositions in simple sentences authentically in writing."
1,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",1.2.2.1,"Write routinely, through a combination of writing, drawing and speaking."
1,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",1.2.2.2,"Share personal perspective, identity, and voice, verbally, visually or in writing."
1,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",1.2.3.1,"Plan, draft and revise to strengthen writing in a shared setting."
1,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",1.2.3.2,Benchmarks begin in grade 3.
1,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",1.2.4.1,"Write to state a personal opinion, and provide one or two reasons for the opinion."
1,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",1.2.4.2,Benchmarks begin in grade 3.
1,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",1.2.5.1,"Write to inform or explain, identifying a topic and stating facts about the topic."
1,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",1.2.5.2,Write to respond to a story.
1,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",1.2.6.1,"Write to tell a story, creating details about a character and setting."
1,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",1.2.6.2,Include details in a written story in an order that makes sense.
1,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,1.2.7.1,Ask and answer questions to participate in shared research and writing projects.
1,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,1.2.7.2,"Plan and conduct research from teacher- recommended sources and share findings in writing, with support and guidance (e.g., encyclopedias, informational texts)."
1,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",1.2.8.1,Identify which words belong to an author and which words are student's own.
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",1.3.1.1,"Exchange ideas through storytelling, discussion and collaboration, intentionally considering the perspectives of Dakota and Anishinaabe people as well as other perspectives.
a. Help create and follow agreed-upon norms for a discussion (e.g., speaker, listener, participation, questioning) respectful of culture.
b. Participate as speaker and listener, responding to and building on the comments and ideas of others.
c. Express one's own ideas, stories and experiences.
d. Make a contribution toward a shared goal in collaboration with others.
e. Follow sequence of a story or discussion or steps in a process."
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",1.3.1.2,Ask questions about what a speaker says in order to gather additional information or clarify something that is not understood.
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one's own ideas, stories and experiences.",1.3.1.3,Benchmarks begin in grade 2.
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",1.3.2.1,Demonstrate understanding of intonation and phrasing in spoken language.
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",1.3.3.1,"Create written, oral and digital content that communicates knowledge and ideas in a variety of presentation styles."
1,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",1.3.3.2,"Create and share work using a teacher-selected digital tool, articulating the advantages and limitations of the tool, related to task, purpose and audience, considering digital footprint. *"
2,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",2.1.1.0,Benchmarks end in grade 1.
2,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",2.1.1.1,"Demonstrate understanding of spoken words, syllables and sounds (phonemes): Identify, blend, segment and manipulate syllables in multi-syllabic words and sounds in five-phoneme words, including consonant blends."
2,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",2.1.1.2,"Know and apply grade-level phonics and word analysis skills in decoding words:
a. Know the spelling-sound correspondences for the common vowel graphemes.
b. Decode multi-syllabic words that include prefixes, suffixes and vowel digraphs.
c. Read high-frequency words, in and out of context, demonstrating both accuracy and automaticity."
2,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",2.1.1.3,"Read grade-level texts fluently, with sufficient accuracy, rate and expression to support comprehension."
2,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",2.1.2.1,"Read independently and monitor understanding of grade-level text; self-correct as needed using strategies including, but not limited to, decoding, making text-to-text connections, and building on strategies learned in previous grade levels, with guidance and support."
2,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",2.1.2.2,"At grade 2 text complexity, select and proficiently read and comprehend texts that address academic tasks."
2,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",2.1.2.3,"Locate, select and read texts on a topic of personal interest."
2,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,2.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people."
2,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",2.1.4.1,"Ask and answer questions including who, what, where, when, why and how to demonstrate understanding of key details in a text; recount the text."
2,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",2.1.4.2,"Identify the central idea, message, or moral of a text and one or two supporting details."
2,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",2.1.4.3,"Identify characters, setting, conflict, resolution and events in literary text."
2,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",2.1.4.4,"Describe the connection between a series of events, concepts or steps in a procedure in informational text. *"
2,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,2.1.5.1,"Identify the purpose of chapters of a book, scenes of a play, and stanzas of a poem and the author's choice of narrative point of view (e.g., first person, second person, third person)."
2,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,2.1.5.2,"Identify informational text features (e.g., captions, bold print, subheadings, glossaries, indexes and hyperlinks)."
2,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,2.1.5.3,Identify and explain how images are used to illustrate ideas and narratives in a text.
2,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",2.1.6.1,"Identify the author or story teller, including Dakota and Anishinaabe authors, of a text, and tell what is possible to know from the text about the story teller's perspective and identity."
2,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",2.1.6.2,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to the time period of publication and/or posting of the text."
2,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",2.1.6.3,Identify if the text is informational or literary and support with evidence.
2,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,2.1.7.1,Benchmarks begins in grade 3.
2,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",2.1.8.1,Recognize how multiple meaning words and phrases impact the meaning or tone of text in stories or poems.
2,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",2.1.8.2,"Determine the meaning of unfamiliar vocabulary or phrases in informational text, using metacognitive strategies and reference tools."
2,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",2.1.9.1,Collect information from two or more sources on a topic of personal interest or academic focus.
2,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",2.1.9.2,"Articulate relevance of sources to task and topic (e.g., factual and opinion pieces)."
2,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",2.2.1.0,Benchmarks end in grade 1.
2,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",2.2.1.1,"Use correct punctuation (end punctuation), spelling (high frequency words), and capitalization (first word in sentence and proper nouns) authentically in writing."
2,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",2.2.1.2,"Apply spelling patterns and rules to spell words with consonant and vowel digraphs and diphthongs, six syllable types, and inflectional suffixes authentically in writing."
2,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",2.2.1.3,"Use nouns (common, proper, possessive and plural), verbs (regular and irregular), and frequently occurring adjectives, conjunctions and prepositions in simple sentences authentically in writing."
2,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",2.2.2.1,"Write routinely, including illustration, for a range of tasks, purposes and audiences (e.g., personal interest, enjoyment, academic tasks)."
2,Writing,"W2 Write routinely for various purposes and disciplines, representing one's own personal perspective, identity and voice.",2.2.2.2,"Write to express ideas representing personal perspective, identity and voice, as a part of a group."
2,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",2.2.3.1,"Plan, draft, revise, edit and publish writing, using self-reflection and teacher guidance."
2,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",2.2.3.2,Benchmarks begin in grade 3.
2,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",2.2.4.1,"Write to state a personal opinion, provide several reasons for the opinion, and include introductory and concluding statements."
2,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",2.2.4.2,Benchmarks begin in grade 3.
2,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",2.2.5.1,"Write to inform or explain, using details to show understanding of the topic and including an introductory and concluding statement."
2,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",2.2.5.2,"Write to respond to characters, setting and conflict in a story."
2,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",2.2.6.1,"Write to tell a story, introducing conflict to a character and setting."
2,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",2.2.6.2,"Use words that signal changes in situation in written narratives, poetry or other creative text (e.g., next, surprisingly)."
