Grade,Strand,Anchor Standard,Code,Benchmark
2,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",2.1.6.1,Describe how tribal government structures govern the affairs of the nation.
2,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,2.2.7.1,Investigate what characteristics allow an item to function as currency.
2,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",2.2.8.1,"Provide an example of an opportunity cost, which is the next best alternative when a choice is made."
2,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",2.2.9.1,"Given a goal and several alternative choices to reach that goal, select the best choice and explain why."
2,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",2.3.13.1,"Create sketch maps and use these, as well as fixed and dynamic maps, to locate places. Describe locations on these maps in relation to other places."
2,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",2.3.14.1,Ask and answer spatial questions about physical and human characteristics in the environment.
2,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",2.3.16.1,"Describe ways that the local environment influences people and their actions and how human actions impact the local environment, including air, water, land and wildlife."
2,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",2.4.18.1,"Describe daily life for Minnesota Dakota or Anishinaabe peoples in different times, including before European contact and today."
2,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",2.4.19.1,"Describe how the culture of a community today reflects the history, daily life or beliefs of its people."
2,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",2.4.20.1,Use historical sources to investigate how the relationship between people and the environment has changed over time. Identify whose voices and perspectives are represented in the sources and whose are absent.
2,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,2.4.21.1,"Use and create calendars to identify days, weeks, months, years and seasons. Identify how the environment can impact how we measure time and create calendars."
2,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",2.5.23.1,"Compare and contrast different ways of knowing, seeing, and understanding land use, rights, and ownership over time."
2,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",2.5.23.2,Identify how different groups have worked to protect the land and natural resources.
2,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,2.5.24.1,Propose an idea to improve the relationship between humans and the environment.
2,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,2.5.25.1,"Describe how a community may consist of multiple cultures, identifying how power is shared among cultural communities. Identify power, cooperation and conflict in multicultural communities."
2,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,2.5.25.2,"Explore the importance of first peoples'/Indigenous peoples' interactions to land, water and the nonhuman world."
3,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,3.1.1.1,Identify ways that individuals become informed about public issues and diverse viewpoints. Demonstrate how to evaluate a source by distinguishing between fact and opinion.
3,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",3.1.3.1,Explain the principles of majority rule with minority rights and describe how civil discourse supports respect for diverse viewpoints.
3,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",3.1.4.1,Describe the importance of the services provided by all levels of government and explain how taxes and fees fund government services.
3,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,3.1.5.1,Identify a local public problem and describe ways individuals and groups can take informed action to influence decision makers to make a difference in the civic life of their communities.
3,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",3.1.6.1,Locate the 11 Tribal Nations of Minnesota and describe how Tribal Nations interact with local or state government.
3,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",3.2.8.1,Explain that producing any good or service requires resources. Describe the resources needed to produce a specific good or service. Explain why it is not possible to produce an unlimited amount of a good or service.
3,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",3.2.9.1,"Identify possible short-term and long-term consequences of different choices, while highlighting that not all individuals have access to the same choices."
3,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",3.2.10.1,Explain that consumers have two roles - as sellers of resources and buyers of goods and services. Explain that producers have two roles - as sellers of goods and services and buyers of resources.
3,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",3.3.13.1,Interpret a map of a region in the ancient world by asking and answering spatial questions based on the map.
3,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",3.3.14.1,Differentiate physical regions from human regions and identify examples from the past and today.
3,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",3.3.15.1,Identify patterns of human populations in relation to access to natural resources in three regions in different parts of the ancient world.
3,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,3.3.17.1,"Describe how different places, including school, the environment or local community, makes one feel."
3,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",3.4.18.1,Identify various ways that different cultures have expressed concepts of time and space.
3,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",3.4.18.2,"Compare and contrast family life, buildings and/or technologies from ancient times to today."
3,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",3.4.19.1,Identify and describe daily life for people living in ancient times in at least three different parts of the world.
3,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",3.4.20.1,Identify what types of historical sources have survived from the ancient world. Ask and answer questions about what we can and cannot know about the ancient world based on these sources.
3,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,3.4.21.1,"Explain how an invention of the past changed life at that time, as well as positive, negative and unintended outcomes."
3,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,3.4.21.2,Explain how the environment influenced the movement of ancient peoples in three different regions of the world.
3,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,3.4.22.1,"Describe how groups or individuals from ancient times helped shape the world around them, and identify their impact today."
3,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,3.5.24.1,Identify how various groups have advocated for self-determination and a more representative media.
4,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,4.1.1.1,Describe how consensus building is used to identify and respond to a community problem.
4,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",4.1.2.1,"Describe how democratic values including fairness, equality, justice, rule of law, freedom and/or individual rights guide and impact the classroom."
4,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",4.1.4.1,"Identify the major roles and responsibilities of elected and appointed leaders in the community, state and nation. Name some current leaders who function in these roles and explain how they are selected."
4,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,4.1.5.1,Examine how identity shapes our perspectives about a local issue and describe ways particular community problems are addressed.
4,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",4.1.6.1,Locate areas inhabited by Indigenous people united by language and similar ways of life in North America and understand the impact of permanent tribal homelands on Indigenous people of Minnesota.
4,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,4.2.7.1,"Explain how the limited supply of natural resources requires people to make decisions about resource use, and examine a specific resource use decision made in your community."
4,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",4.2.8.1,Explain how incentives can change people's decisions about resource use.
4,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",4.2.10.1,Explain what it means for a resource to be productive and how productivity can increase.
4,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,4.2.11.1,"Explain how a nation's resources influence the goods and services it can produce and why people in different cultures, regions or countries may make different decisions about resource use."
4,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",4.3.13.1,Analyze both fixed and dynamic maps using the TODALSS criteria when investigating places from local to global scales.
4,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",4.3.13.2,Ask spatial questions and acquire geographic sources from different perspectives to answer them.
4,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",4.3.14.1,"Use maps and concepts of location to identify and describe political features (states/territories, major cities, capitals) and recognize the Indigenous land these places were built on."
4,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",4.3.14.2,Describe physical and human characteristics needed for different types of agricultural and energy production regions.
4,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",4.3.16.1,Explain how changes in climate and choices humans make impact environments from local to global scales.
4,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,4.3.17.1,Analyze how different perspectives have influenced decisions about where to locate and name places.
4,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",4.4.18.1,Pose a question about an issue in the community and/or the contemporary world and investigate its history.
4,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",4.4.20.1,Compare and contrast two historical sources to investigate a contemporary issue and its historical roots.
4,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,4.4.21.1,Create a timeline demonstrating a sequence of events related to a contemporary local or global issue.
4,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",4.5.23.1,Investigate government responses to migration and immigration both locally and nationally.
4,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",4.5.23.2,"Explain the role that stereotypes and images based on race, religion, geography, ethnicity and gender play in the construction of an individual's/group's identity. Identify the implications associated with these stereotypes and images and how and why they may have changed over time."
4,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,4.5.25.1,Identify the processes and impacts of colonization and examine how discrimination and the oppression of various racial and ethnic groups have produced resistance movements.
4,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,4.5.25.2,Identify examples of individuals or groups who have had an impact on world history. Explain how the actions of these individuals and groups have helped shape the world around them and the world today.
5,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",5.1.2.1,"Identify a democratic principle written in the Declaration of Independence and the preamble to the U.S. Constitution and describe how the principle impacts the decisions of government, society or communities."
5,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",5.1.3.1,Explain specific protections that the Bill of Rights provides to individuals and the importance of these 10 amendments to the ratification of the U.S. Constitution.
5,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",5.1.4.1,"Describe how the U.S. Constitution establishes the three branches of government, how leaders are selected, and how governmental power is limited through the principles of federalism, separation of powers, and checks and balances."
5,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",5.1.6.1,Describe a U.S. Federal Indian policy and explain how it impacts tribal nation self-determination and agency.
5,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",5.2.9.1,"Apply a decision-making process to identify alternative options available to decision-makers in a historical setting, the decision that was made and the opportunity cost of the decision."
5,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",5.2.10.1,Calculate profit as the difference between revenue (from selling goods and services) and cost (payments for resources used).
5,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,5.2.11.1,Investigate the relationship between individual well-being and the well-being of an entire community or nation.
5,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,5.2.12.1,Explain how government decisions concerning trading relationships may impact people differently within a community or nation.
5,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",5.3.13.1,Create and interpret both fixed and dynamic maps that represent the same places in early America from different perspectives and times.
5,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",5.3.13.2,Investigate spatial problems and then act by communicating conclusions with authentic audiences.
5,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",5.3.14.1,Explain how physical and human characteristics and power structures are used to create regions on the land.
5,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",5.3.15.1,"Describe interconnectedness and identify patterns within what became the United States, considering past, present and future trends."
5,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",5.3.16.1,Describe how the choices people make have impacted a physical environment over time.
5,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,5.3.17.1,Analyze how different perspectives influenced past decisions to name places and impact changing place names today.
5,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",5.4.18.1,"Identify at least three Indigenous nations in North America. Describe the social structures, political systems and economic activities of at least one Indigenous nation."
5,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",5.4.18.2,Compare and contrast the impact of the American Revolution on different groups within the 13 colonies that made up the new United States and identify what narratives are absent.
5,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",5.4.19.1,"Describe ways that enslaved people and people in free Black communities resisted slavery and transferred, developed and maintained their cultural identities."
5,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",5.4.19.2,Explain an event or events of the American Revolution through multiple perspectives.
